,league_id,home_team_api_id,away_team_api_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,win,home_player_1_overall_rating,home_player_1_potential,home_player_1_crossing,home_player_1_heading_accuracy,home_player_1_short_passing,home_player_1_volleys,home_player_1_dribbling,home_player_1_curve,home_player_1_free_kick_accuracy,home_player_1_long_passing,home_player_1_ball_control,home_player_1_acceleration,home_player_1_sprint_speed,home_player_1_agility,home_player_1_reactions,home_player_1_balance,home_player_1_shot_power,home_player_1_jumping,home_player_1_stamina,home_player_1_strength,home_player_1_long_shots,home_player_1_aggression,home_player_1_interceptions,home_player_1_positioning,home_player_1_vision,home_player_1_penalties,home_player_1_marking,home_player_2_overall_rating,home_player_2_potential,home_player_2_crossing,home_player_2_heading_accuracy,home_player_2_short_passing,home_player_2_volleys,home_player_2_dribbling,home_player_2_curve,home_player_2_free_kick_accuracy,home_player_2_long_passing,home_player_2_ball_control,home_player_2_acceleration,home_player_2_sprint_speed,home_player_2_agility,home_player_2_reactions,home_player_2_balance,home_player_2_shot_power,home_player_2_jumping,home_player_2_stamina,home_player_2_strength,home_player_2_long_shots,home_player_2_aggression,home_player_2_interceptions,home_player_2_positioning,home_player_2_vision,home_player_2_penalties,home_player_2_marking,home_player_3_overall_rating,home_player_3_potential,home_player_3_crossing,home_player_3_heading_accuracy,home_player_3_short_passing,home_player_3_volleys,home_player_3_dribbling,home_player_3_curve,home_player_3_free_kick_accuracy,home_player_3_long_passing,home_player_3_ball_control,home_player_3_acceleration,home_player_3_sprint_speed,home_player_3_agility,home_player_3_reactions,home_player_3_balance,home_player_3_shot_power,home_player_3_jumping,home_player_3_stamina,home_player_3_strength,home_player_3_long_shots,home_player_3_aggression,home_player_3_interceptions,home_player_3_positioning,home_player_3_vision,home_player_3_penalties,home_player_3_marking,home_player_4_overall_rating,home_player_4_potential,home_player_4_crossing,home_player_4_heading_accuracy,home_player_4_short_passing,home_player_4_volleys,home_player_4_dribbling,home_player_4_curve,home_player_4_free_kick_accuracy,home_player_4_long_passing,home_player_4_ball_control,home_player_4_acceleration,home_player_4_sprint_speed,home_player_4_agility,home_player_4_reactions,home_player_4_balance,home_player_4_shot_power,home_player_4_jumping,home_player_4_stamina,home_player_4_strength,home_player_4_long_shots,home_player_4_aggression,home_player_4_interceptions,home_player_4_positioning,home_player_4_vision,home_player_4_penalties,home_player_4_marking,home_player_5_overall_rating,home_player_5_potential,home_player_5_crossing,home_player_5_heading_accuracy,home_player_5_short_passing,home_player_5_volleys,home_player_5_dribbling,home_player_5_curve,home_player_5_free_kick_accuracy,home_player_5_long_passing,home_player_5_ball_control,home_player_5_acceleration,home_player_5_sprint_speed,home_player_5_agility,home_player_5_reactions,home_player_5_balance,home_player_5_shot_power,home_player_5_jumping,home_player_5_stamina,home_player_5_strength,home_player_5_long_shots,home_player_5_aggression,home_player_5_interceptions,home_player_5_positioning,home_player_5_vision,home_player_5_penalties,home_player_5_marking,home_player_6_overall_rating,home_player_6_potential,home_player_6_crossing,home_player_6_heading_accuracy,home_player_6_short_passing,home_player_6_volleys,home_player_6_dribbling,home_player_6_curve,home_player_6_free_kick_accuracy,home_player_6_long_passing,home_player_6_ball_control,home_player_6_acceleration,home_player_6_sprint_speed,home_player_6_agility,home_player_6_reactions,home_player_6_balance,home_player_6_shot_power,home_player_6_jumping,home_player_6_stamina,home_player_6_strength,home_player_6_long_shots,home_player_6_aggression,home_player_6_interceptions,home_player_6_positioning,home_player_6_vision,home_player_6_penalties,home_player_6_marking,home_player_7_overall_rating,home_player_7_potential,home_player_7_crossing,home_player_7_heading_accuracy,home_player_7_short_passing,home_player_7_volleys,home_player_7_dribbling,home_player_7_curve,home_player_7_free_kick_accuracy,home_player_7_long_passing,home_player_7_ball_control,home_player_7_acceleration,home_player_7_sprint_speed,home_player_7_agility,home_player_7_reactions,home_player_7_balance,home_player_7_shot_power,home_player_7_jumping,home_player_7_stamina,home_player_7_strength,home_player_7_long_shots,home_player_7_aggression,home_player_7_interceptions,home_player_7_positioning,home_player_7_vision,home_player_7_penalties,home_player_7_marking,home_player_8_overall_rating,home_player_8_potential,home_player_8_crossing,home_player_8_heading_accuracy,home_player_8_short_passing,home_player_8_volleys,home_player_8_dribbling,home_player_8_curve,home_player_8_free_kick_accuracy,home_player_8_long_passing,home_player_8_ball_control,home_player_8_acceleration,home_player_8_sprint_speed,home_player_8_agility,home_player_8_reactions,home_player_8_balance,home_player_8_shot_power,home_player_8_jumping,home_player_8_stamina,home_player_8_strength,home_player_8_long_shots,home_player_8_aggression,home_player_8_interceptions,home_player_8_positioning,home_player_8_vision,home_player_8_penalties,home_player_8_marking,home_player_9_overall_rating,home_player_9_potential,home_player_9_crossing,home_player_9_heading_accuracy,home_player_9_short_passing,home_player_9_volleys,home_player_9_dribbling,home_player_9_curve,home_player_9_free_kick_accuracy,home_player_9_long_passing,home_player_9_ball_control,home_player_9_acceleration,home_player_9_sprint_speed,home_player_9_agility,home_player_9_reactions,home_player_9_balance,home_player_9_shot_power,home_player_9_jumping,home_player_9_stamina,home_player_9_strength,home_player_9_long_shots,home_player_9_aggression,home_player_9_interceptions,home_player_9_positioning,home_player_9_vision,home_player_9_penalties,home_player_9_marking,home_player_10_overall_rating,home_player_10_potential,home_player_10_crossing,home_player_10_heading_accuracy,home_player_10_short_passing,home_player_10_volleys,home_player_10_dribbling,home_player_10_curve,home_player_10_free_kick_accuracy,home_player_10_long_passing,home_player_10_ball_control,home_player_10_acceleration,home_player_10_sprint_speed,home_player_10_agility,home_player_10_reactions,home_player_10_balance,home_player_10_shot_power,home_player_10_jumping,home_player_10_stamina,home_player_10_strength,home_player_10_long_shots,home_player_10_aggression,home_player_10_interceptions,home_player_10_positioning,home_player_10_vision,home_player_10_penalties,home_player_10_marking,home_player_11_overall_rating,home_player_11_potential,home_player_11_crossing,home_player_11_heading_accuracy,home_player_11_short_passing,home_player_11_volleys,home_player_11_dribbling,home_player_11_curve,home_player_11_free_kick_accuracy,home_player_11_long_passing,home_player_11_ball_control,home_player_11_acceleration,home_player_11_sprint_speed,home_player_11_agility,home_player_11_reactions,home_player_11_balance,home_player_11_shot_power,home_player_11_jumping,home_player_11_stamina,home_player_11_strength,home_player_11_long_shots,home_player_11_aggression,home_player_11_interceptions,home_player_11_positioning,home_player_11_vision,home_player_11_penalties,home_player_11_marking,away_player_1_overall_rating,away_player_1_potential,away_player_1_crossing,away_player_1_heading_accuracy,away_player_1_short_passing,away_player_1_volleys,away_player_1_dribbling,away_player_1_curve,away_player_1_free_kick_accuracy,away_player_1_long_passing,away_player_1_ball_control,away_player_1_acceleration,away_player_1_sprint_speed,away_player_1_agility,away_player_1_reactions,away_player_1_balance,away_player_1_shot_power,away_player_1_jumping,away_player_1_stamina,away_player_1_strength,away_player_1_long_shots,away_player_1_aggression,away_player_1_interceptions,away_player_1_positioning,away_player_1_vision,away_player_1_penalties,away_player_1_marking,away_player_2_overall_rating,away_player_2_potential,away_player_2_crossing,away_player_2_heading_accuracy,away_player_2_short_passing,away_player_2_volleys,away_player_2_dribbling,away_player_2_curve,away_player_2_free_kick_accuracy,away_player_2_long_passing,away_player_2_ball_control,away_player_2_acceleration,away_player_2_sprint_speed,away_player_2_agility,away_player_2_reactions,away_player_2_balance,away_player_2_shot_power,away_player_2_jumping,away_player_2_stamina,away_player_2_strength,away_player_2_long_shots,away_player_2_aggression,away_player_2_interceptions,away_player_2_positioning,away_player_2_vision,away_player_2_penalties,away_player_2_marking,away_player_3_overall_rating,away_player_3_potential,away_player_3_crossing,away_player_3_heading_accuracy,away_player_3_short_passing,away_player_3_volleys,away_player_3_dribbling,away_player_3_curve,away_player_3_free_kick_accuracy,away_player_3_long_passing,away_player_3_ball_control,away_player_3_acceleration,away_player_3_sprint_speed,away_player_3_agility,away_player_3_reactions,away_player_3_balance,away_player_3_shot_power,away_player_3_jumping,away_player_3_stamina,away_player_3_strength,away_player_3_long_shots,away_player_3_aggression,away_player_3_interceptions,away_player_3_positioning,away_player_3_vision,away_player_3_penalties,away_player_3_marking,away_player_4_overall_rating,away_player_4_potential,away_player_4_crossing,away_player_4_heading_accuracy,away_player_4_short_passing,away_player_4_volleys,away_player_4_dribbling,away_player_4_curve,away_player_4_free_kick_accuracy,away_player_4_long_passing,away_player_4_ball_control,away_player_4_acceleration,away_player_4_sprint_speed,away_player_4_agility,away_player_4_reactions,away_player_4_balance,away_player_4_shot_power,away_player_4_jumping,away_player_4_stamina,away_player_4_strength,away_player_4_long_shots,away_player_4_aggression,away_player_4_interceptions,away_player_4_positioning,away_player_4_vision,away_player_4_penalties,away_player_4_marking,away_player_5_overall_rating,away_player_5_potential,away_player_5_crossing,away_player_5_heading_accuracy,away_player_5_short_passing,away_player_5_volleys,away_player_5_dribbling,away_player_5_curve,away_player_5_free_kick_accuracy,away_player_5_long_passing,away_player_5_ball_control,away_player_5_acceleration,away_player_5_sprint_speed,away_player_5_agility,away_player_5_reactions,away_player_5_balance,away_player_5_shot_power,away_player_5_jumping,away_player_5_stamina,away_player_5_strength,away_player_5_long_shots,away_player_5_aggression,away_player_5_interceptions,away_player_5_positioning,away_player_5_vision,away_player_5_penalties,away_player_5_marking,away_player_6_overall_rating,away_player_6_potential,away_player_6_crossing,away_player_6_heading_accuracy,away_player_6_short_passing,away_player_6_volleys,away_player_6_dribbling,away_player_6_curve,away_player_6_free_kick_accuracy,away_player_6_long_passing,away_player_6_ball_control,away_player_6_acceleration,away_player_6_sprint_speed,away_player_6_agility,away_player_6_reactions,away_player_6_balance,away_player_6_shot_power,away_player_6_jumping,away_player_6_stamina,away_player_6_strength,away_player_6_long_shots,away_player_6_aggression,away_player_6_interceptions,away_player_6_positioning,away_player_6_vision,away_player_6_penalties,away_player_6_marking,away_player_7_overall_rating,away_player_7_potential,away_player_7_crossing,away_player_7_heading_accuracy,away_player_7_short_passing,away_player_7_volleys,away_player_7_dribbling,away_player_7_curve,away_player_7_free_kick_accuracy,away_player_7_long_passing,away_player_7_ball_control,away_player_7_acceleration,away_player_7_sprint_speed,away_player_7_agility,away_player_7_reactions,away_player_7_balance,away_player_7_shot_power,away_player_7_jumping,away_player_7_stamina,away_player_7_strength,away_player_7_long_shots,away_player_7_aggression,away_player_7_interceptions,away_player_7_positioning,away_player_7_vision,away_player_7_penalties,away_player_7_marking,away_player_8_overall_rating,away_player_8_potential,away_player_8_crossing,away_player_8_heading_accuracy,away_player_8_short_passing,away_player_8_volleys,away_player_8_dribbling,away_player_8_curve,away_player_8_free_kick_accuracy,away_player_8_long_passing,away_player_8_ball_control,away_player_8_acceleration,away_player_8_sprint_speed,away_player_8_agility,away_player_8_reactions,away_player_8_balance,away_player_8_shot_power,away_player_8_jumping,away_player_8_stamina,away_player_8_strength,away_player_8_long_shots,away_player_8_aggression,away_player_8_interceptions,away_player_8_positioning,away_player_8_vision,away_player_8_penalties,away_player_8_marking,away_player_9_overall_rating,away_player_9_potential,away_player_9_crossing,away_player_9_heading_accuracy,away_player_9_short_passing,away_player_9_volleys,away_player_9_dribbling,away_player_9_curve,away_player_9_free_kick_accuracy,away_player_9_long_passing,away_player_9_ball_control,away_player_9_acceleration,away_player_9_sprint_speed,away_player_9_agility,away_player_9_reactions,away_player_9_balance,away_player_9_shot_power,away_player_9_jumping,away_player_9_stamina,away_player_9_strength,away_player_9_long_shots,away_player_9_aggression,away_player_9_interceptions,away_player_9_positioning,away_player_9_vision,away_player_9_penalties,away_player_9_marking,away_player_10_overall_rating,away_player_10_potential,away_player_10_crossing,away_player_10_heading_accuracy,away_player_10_short_passing,away_player_10_volleys,away_player_10_dribbling,away_player_10_curve,away_player_10_free_kick_accuracy,away_player_10_long_passing,away_player_10_ball_control,away_player_10_acceleration,away_player_10_sprint_speed,away_player_10_agility,away_player_10_reactions,away_player_10_balance,away_player_10_shot_power,away_player_10_jumping,away_player_10_stamina,away_player_10_strength,away_player_10_long_shots,away_player_10_aggression,away_player_10_interceptions,away_player_10_positioning,away_player_10_vision,away_player_10_penalties,away_player_10_marking,away_player_11_overall_rating,away_player_11_potential,away_player_11_crossing,away_player_11_heading_accuracy,away_player_11_short_passing,away_player_11_volleys,away_player_11_dribbling,away_player_11_curve,away_player_11_free_kick_accuracy,away_player_11_long_passing,away_player_11_ball_control,away_player_11_acceleration,away_player_11_sprint_speed,away_player_11_agility,away_player_11_reactions,away_player_11_balance,away_player_11_shot_power,away_player_11_jumping,away_player_11_stamina,away_player_11_strength,away_player_11_long_shots,away_player_11_aggression,away_player_11_interceptions,away_player_11_positioning,away_player_11_vision,away_player_11_penalties,away_player_11_marking
2,21518,9783,8633,33018,111190,37451,41167,34104,37447,30271,33758,31045,37441,34956,30657,30962,25921,30670,28467,37259,32765,25759,30655,30834,34602,0,74,74,25,25,23,25,25,25,25,22,25,55,55,66,71,65,22,75,44,65,25,32,23,25,25,21,25,74,74,75,55,67,54,65,61,39,63,74,78,77,74,76,89,68,77,79,57,26,70,78,44,56,48,74,72,72,44,78,69,28,32,31,47,63,64,45,54,36,64,52,53,78,55,84,48,78,66,47,42,60,71,82,82,82,66,75,56,77,74,75,77,78,78,85,74,82,60,71,62,90,74,60,75,80,71,70,65,84,76,76,42,71,79,47,58,54,53,71,68,58,54,64,69,55,42,73,72,74,52,63,86,40,53,46,76,63,63,74,55,60,50,66,77,61,59,68,62,55,77,64,76,60,71,55,61,54,59,51,60,61,72,44,71,72,68,60,77,67,68,76,77,71,77,62,67,62,73,80,74,61,62,76,76,75,62,59,81,75,69,64,64,54,59,66,51,62,63,62,67,65,66,59,68,66,74,70,55,58,58,59,82,64,52,59,64,61,81,81,74,55,85,69,81,70,71,80,85,85,82,85,84,88,75,74,88,57,71,63,71,68,82,77,57,76,76,70,54,82,64,76,82,80,80,80,65,60,70,70,73,74,53,55,56,76,56,48,76,82,72,40,68,77,59,69,60,67,71,70,65,50,72,70,68,69,66,73,70,70,71,69,62,59,29,73,71,74,36,82,82,13,25,21,14,25,25,13,22,23,65,63,62,78,46,28,77,43,70,13,23,22,16,65,24,11,87,87,74,86,76,66,57,73,68,70,83,78,79,82,82,60,77,91,86,80,55,83,88,52,63,68,85,84,84,46,80,67,23,58,44,47,60,57,68,77,62,74,58,63,76,72,83,56,94,85,40,58,57,84,74,74,67,72,60,54,58,73,76,66,60,44,46,58,72,77,69,76,51,73,25,76,76,40,58,55,76,83,83,85,69,79,54,83,80,67,76,86,78,83,79,85,84,83,77,81,75,65,86,83,67,70,59,79,75,75,55,76,79,50,60,67,46,73,73,51,62,57,74,57,47,68,57,78,57,83,77,51,67,56,75,81,85,80,61,89,80,80,79,82,86,86,69,67,73,70,61,75,59,64,60,78,71,55,76,92,78,31,86,86,68,78,72,83,83,69,62,58,86,79,83,74,86,60,85,73,72,84,80,50,20,90,70,70,12,81,81,68,75,82,84,82,67,71,61,85,66,61,76,85,73,74,69,72,66,67,51,43,88,81,76,18,89,89,80,51,85,86,93,86,83,73,90,90,90,91,91,91,86,61,73,65,90,47,39,88,84,80,29,77,77,56,80,74,76,70,74,72,58,74,46,52,54,80,50,83,45,47,77,56,68,27,91,75,90,16
4,21518,8696,8302,37579,33896,37581,80497,18664,38403,37512,32999,33892,35638,150644,33986,39562,33812,38138,33848,33991,34000,31014,33992,33989,34106,2,71,71,23,22,29,15,11,13,12,26,17,45,62,60,69,60,24,84,44,55,13,44,25,12,32,23,12,67,67,48,77,66,24,50,46,29,61,57,46,51,44,53,57,60,60,47,78,55,73,71,39,59,43,67,66,66,44,69,71,32,52,73,76,63,60,36,34,48,54,61,72,53,51,83,53,71,68,42,74,55,64,66,66,66,58,59,39,49,59,43,60,67,68,70,72,60,58,45,66,66,70,36,60,62,46,50,40,60,71,71,82,52,61,49,62,59,59,62,66,70,71,69,75,43,67,71,88,80,58,80,75,55,61,46,65,73,76,60,64,78,38,60,38,68,74,74,64,65,58,69,68,66,58,70,74,63,72,73,53,81,51,74,68,68,46,52,69,48,58,46,55,67,64,68,65,63,61,51,49,63,79,73,47,77,71,60,66,48,57,76,76,64,60,82,67,78,68,71,71,81,66,67,63,74,80,80,62,34,91,70,70,55,67,81,76,44,67,67,64,52,78,53,70,70,61,74,72,61,54,63,65,68,55,32,42,56,59,60,47,58,73,62,50,68,84,73,61,63,62,69,80,66,68,75,75,76,61,65,58,71,54,74,71,68,73,54,53,54,65,66,70,70,50,76,64,71,57,52,64,50,71,66,52,51,66,75,76,81,71,85,66,77,22,75,56,74,22,71,71,25,14,32,14,12,25,15,33,15,54,55,51,61,58,23,60,41,70,22,34,22,12,33,13,13,67,67,40,67,60,27,49,26,43,64,58,50,46,55,60,62,48,66,33,75,43,78,70,34,47,42,66,72,78,48,72,55,70,56,68,69,60,67,74,75,64,65,60,72,76,67,76,39,81,70,46,53,47,72,70,71,45,70,71,37,56,64,62,70,66,49,48,56,68,55,65,66,61,75,44,69,72,42,58,66,68,62,72,61,71,54,31,43,58,47,57,63,56,59,54,69,62,53,68,63,65,34,56,61,25,60,49,62,71,71,67,49,72,59,77,68,62,64,76,73,75,76,75,79,77,70,63,61,64,58,43,73,64,59,39,80,80,61,60,77,53,62,70,62,75,74,68,63,67,84,60,72,70,86,77,64,85,85,59,69,60,75,67,67,46,58,66,46,57,55,56,61,65,57,62,63,64,60,78,80,73,84,58,68,71,42,60,67,64,63,63,64,50,61,45,62,72,61,59,69,62,62,60,66,71,61,49,53,64,58,72,63,63,63,61,59,76,76,56,75,68,68,72,59,56,58,75,76,75,71,78,72,73,80,66,75,62,62,46,78,69,74,31,70,70,63,52,67,68,76,78,69,46,75,76,74,80,73,84,75,72,59,59,67,54,25,70,65,79,16
11,21518,8696,9869,37579,33896,33828,80497,41196,35638,37512,32999,33892,38382,150644,33630,74743,75608,33895,74752,33611,33887,97334,74770,24383,34582,0,71,71,23,22,29,15,11,13,12,26,17,45,62,60,69,60,24,84,44,55,13,44,25,12,32,23,12,70,70,71,51,56,50,63,63,58,64,67,84,88,88,52,80,74,83,72,70,58,67,72,56,48,40,58,67,67,48,77,66,24,50,46,29,61,57,46,51,44,53,57,60,60,47,78,55,73,71,39,59,43,67,66,66,44,69,71,32,52,73,76,63,60,36,34,48,54,61,72,53,51,83,53,71,68,42,74,55,64,66,66,66,58,59,39,49,59,43,60,67,68,70,72,60,58,45,66,66,70,36,60,62,46,50,40,60,73,76,60,64,78,38,60,38,68,74,74,64,65,58,69,68,66,58,70,74,63,72,73,53,81,51,74,67,67,64,52,78,53,70,70,61,74,72,61,54,63,65,68,55,32,42,56,59,60,47,58,73,62,50,71,71,82,52,61,49,62,59,59,62,66,70,71,69,75,43,67,71,88,80,58,80,75,55,61,46,65,76,76,64,60,82,67,78,68,71,71,81,66,67,63,74,80,80,62,34,91,70,70,55,67,81,76,44,65,65,72,53,68,50,63,72,59,60,63,71,72,73,74,67,62,59,49,60,56,50,42,60,67,58,50,79,79,66,68,78,73,84,83,63,69,81,77,75,66,81,73,79,49,59,73,78,60,28,84,76,77,25,75,75,12,14,17,19,22,15,12,25,16,55,54,57,65,53,24,76,44,73,12,37,28,15,37,24,12,70,81,58,60,68,43,53,56,44,66,72,64,65,57,61,68,54,61,62,73,37,82,73,38,60,46,79,76,76,53,85,57,29,42,33,50,68,59,33,55,31,61,33,66,54,68,91,45,64,76,31,54,50,81,78,78,66,80,73,35,61,53,42,69,67,67,71,57,72,56,70,73,70,76,49,78,83,43,58,35,83,69,69,62,59,62,34,59,59,40,66,62,76,75,72,68,74,52,69,73,68,38,65,69,53,56,40,69,72,72,58,63,79,54,58,62,67,70,70,34,34,39,66,53,85,55,59,80,73,78,77,59,74,66,56,76,76,67,57,84,65,77,82,75,77,80,67,63,78,76,79,74,74,78,69,68,68,71,67,77,59,75,74,74,78,57,75,63,77,84,55,68,76,68,68,67,70,84,75,64,64,58,67,64,45,75,85,80,17,75,75,51,65,62,73,84,60,62,45,79,87,87,86,80,85,72,74,55,45,75,59,29,79,59,59,18,66,66,74,45,66,57,69,73,62,61,72,54,55,62,79,71,70,52,34,61,71,58,38,72,66,59,25,68,68,57,66,61,71,65,46,48,47,62,79,82,81,71,75,72,84,65,58,70,43,28,71,62,71,15
14,21518,8371,9906,74736,72541,11778,33865,72542,26044,42369,38424,33641,30907,37497,39989,33636,30839,30689,34103,33871,25924,33632,38492,30663,37412,2,67,72,11,11,27,14,14,10,10,23,20,50,40,43,61,34,21,44,50,66,14,40,21,11,32,28,12,78,78,80,63,64,44,63,65,51,66,74,64,76,58,74,57,84,77,83,82,51,86,82,47,49,53,81,63,74,33,59,54,24,36,15,34,52,58,56,57,54,58,63,51,57,61,70,38,67,61,28,52,43,63,61,61,38,67,48,37,47,43,58,46,54,38,32,35,44,46,52,56,33,78,42,73,58,32,43,46,55,68,68,69,59,68,57,73,74,70,66,71,66,64,67,71,71,72,53,49,63,65,67,51,72,69,58,64,65,72,56,53,73,51,57,59,59,67,62,65,67,60,72,66,62,69,60,71,60,69,65,56,75,69,55,72,72,60,53,79,51,64,65,68,77,72,65,66,65,70,80,84,56,73,75,70,84,64,56,79,85,54,77,77,75,66,69,63,71,67,69,64,75,78,85,75,76,71,89,73,84,80,88,87,75,72,59,64,73,60,60,46,70,53,63,58,53,66,47,64,57,56,66,52,59,74,76,35,73,54,74,24,61,44,54,29,73,73,81,51,80,59,73,91,86,84,75,51,55,64,64,76,85,53,33,62,82,67,43,71,77,72,60,77,77,61,68,75,74,83,76,57,56,84,83,78,77,77,64,75,74,66,68,69,58,32,82,72,67,21,79,79,11,10,28,14,11,10,11,23,23,34,52,48,74,47,22,68,42,66,11,36,16,11,53,21,14,71,71,80,52,74,50,65,76,59,71,74,66,67,64,67,66,75,65,75,69,67,69,70,59,57,57,71,81,81,38,85,70,22,60,50,46,76,72,68,68,64,78,60,68,84,66,78,36,78,84,32,60,74,84,86,86,55,92,77,47,53,49,51,69,73,68,69,62,83,58,67,88,73,78,43,84,86,48,52,50,86,69,69,80,72,74,83,61,81,77,76,76,50,61,55,72,48,81,57,44,65,69,75,75,68,61,60,64,85,85,85,58,86,72,86,86,78,84,87,77,66,85,85,91,78,71,72,60,82,64,55,82,85,80,56,71,71,48,73,74,57,54,68,59,64,66,48,41,55,63,54,73,54,65,78,53,82,77,58,66,47,76,75,75,66,56,83,54,62,81,80,82,68,39,35,48,84,69,82,30,45,75,81,72,72,64,86,75,54,75,84,85,58,83,68,79,85,72,78,82,60,64,57,63,65,70,59,48,64,75,46,44,77,88,79,32,78,78,69,63,76,80,83,78,72,66,87,86,78,84,76,86,76,65,65,56,80,24,18,84,76,87,14,69,69,47,76,55,62,62,54,54,38,67,43,48,37,81,60,69,69,31,74,64,60,34,84,60,69,16
18,21518,8305,10267,34382,37473,32675,37427,37468,37474,27420,37471,41156,37469,37506,19435,34007,34029,30752,34008,37824,30666,32761,38701,41468,30909,1,74,74,25,25,23,25,25,25,25,22,25,55,55,66,71,65,22,75,44,65,25,32,23,25,25,21,25,67,67,78,49,68,57,48,66,48,71,70,52,46,49,78,66,56,33,34,75,63,72,80,45,61,51,72,76,76,42,71,79,47,58,54,53,71,68,58,54,64,69,55,42,73,72,74,52,63,86,40,53,46,76,65,65,45,73,65,14,22,18,41,61,56,64,67,62,61,62,44,65,64,70,36,67,62,35,46,42,66,82,82,82,66,75,56,77,74,75,77,78,78,85,74,82,60,71,62,90,74,60,75,80,71,70,65,84,66,66,54,50,76,44,53,60,61,72,64,49,33,52,59,75,70,49,70,72,58,68,62,58,67,50,57,74,74,60,71,84,47,67,58,60,70,75,49,34,58,76,55,82,64,72,78,68,76,75,70,77,54,62,74,74,75,70,77,59,77,70,61,68,78,66,71,62,81,55,78,56,59,68,67,70,46,82,75,60,23,76,76,70,54,82,64,76,82,80,80,80,65,60,70,70,73,74,53,55,56,76,56,48,76,82,72,40,81,81,74,55,85,69,81,70,71,80,85,85,82,85,84,88,75,74,88,57,71,63,71,68,82,77,57,61,61,45,72,55,65,50,62,48,40,59,37,47,36,57,59,75,64,28,76,52,58,27,66,52,69,22,79,79,11,13,29,16,11,12,13,20,15,32,33,28,81,52,20,47,33,83,14,38,23,16,53,13,13,76,76,74,61,75,47,75,79,64,79,76,77,76,71,82,71,73,74,86,75,68,81,75,66,68,63,75,69,69,56,72,75,45,56,59,53,63,61,32,32,47,54,47,63,46,31,75,38,73,67,44,58,45,71,72,72,54,75,60,54,45,42,35,52,58,32,31,30,70,35,68,62,71,85,42,83,71,29,44,57,71,79,79,82,67,75,48,74,77,32,74,79,79,79,72,73,71,57,81,90,73,53,78,79,55,63,45,79,73,73,74,46,83,52,61,63,62,81,73,59,52,57,70,75,81,48,59,72,68,82,77,66,79,58,54,84,85,60,86,77,61,63,61,45,76,71,49,54,54,82,58,78,70,62,85,63,88,85,57,76,52,81,78,78,86,52,80,66,81,82,80,81,79,78,76,74,75,76,79,66,72,62,77,63,43,76,77,59,17,62,67,59,50,71,52,67,71,63,63,72,61,64,70,61,64,61,59,59,59,59,56,57,57,70,58,52,70,70,80,45,72,68,69,77,79,74,71,63,55,74,69,65,73,59,60,66,75,55,58,70,70,81,42,80,80,44,90,69,80,69,60,40,49,79,52,62,45,80,33,79,54,65,91,64,71,25,85,70,70,15
